,Transaction ID,Transaction Date,Menu,Category,Menu ID,Qty,Price,Total Spent,Payment Method,Order Type
0,SUN-3835107,22-06-2023,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Dine in
1,SUN-8191346,06-07-2023,Caramel Machiato,Drinks,DRK-04,1,38000,38000,Cash,Take Away
2,SUN-7920383,03-10-2023,Club Sandwich,Food,FOD-05,3,45000,135000,Debit Card,Take Away
3,SUN-6464422,13-12-2023,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Debit Card,Dine in
4,SUN-2014718,13-01-2023,Buttermilk Fried Chicken,Food,FOD-01,1,48000,48000,Debit Card,Take Away
5,SUN-7542218,22-02-2023,New York Cheesecake,Dessert,DST-03,1,42000,42000,Digital Wallet,Dine in
6,SUN-5330146,28-10-2023,Espreso Single,Drinks,DRK-01,1,22000,22000,Digital Wallet,Online Order
7,SUN-3755609,13-12-2023,Caramel Machiato,Drinks,DRK-04,1,38000,38000,Debit Card,Online Order
8,SUN-4316847,01-04-2023,New York Cheesecake,Dessert,DST-03,3,42000,126000,Cash,Dine in
9,SUN-9100246,24-04-2023,Iced Americano,Drinks,DRK-02,3,28000,84000,Cash,Take Away
10,SUN-3821421,14-11-2023,Choco Lava Cake,Dessert,DST-04,1,35000,35000,Debit Card,Take Away
11,SUN-7147217,04-06-2023,New York Cheesecake,Dessert,DST-03,4,42000,168000,Digital Wallet,Online Order
12,SUN-4825977,10-04-2023,Nasi Goreng Kampung,Food,FOD-03,2,38000,76000,Digital Wallet,Take Away
13,SUN-5748405,30-10-2023,Nasi Goreng Kampung,Food,FOD-03,2,38000,76000,Digital Wallet,Take Away
14,SUN-2252707,04-04-2023,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Debit Card,Dine in
15,SUN-5365865,30-05-2023,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Cash,Dine in
16,SUN-5552295,23-08-2023,Grill Chicken Caesar Salad,Food,FOD-04,4,42000,168000,Debit Card,Take Away
17,SUN-6429304,20-07-2023,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Dine in
18,SUN-2229056,01-02-2023,Iced Americano,Drinks,DRK-02,4,28000,112000,Digital Wallet,Online Order
19,SUN-2101618,11-01-2023,Club Sandwich,Food,FOD-05,1,45000,45000,Cash,Dine in
20,SUN-1231054,12-03-2023,Espreso Single,Drinks,DRK-01,2,22000,44000,Cash,Dine in
21,SUN-9323540,03-10-2023,Club Sandwich,Food,FOD-05,2,45000,90000,Cash,Take Away
22,SUN-5000030,02-11-2023,Grill Chicken Caesar Salad,Food,FOD-04,1,42000,42000,Cash,Dine in
23,SUN-7129459,16-07-2023,Cinnamon Roll,Dessert,DST-05,3,28000,84000,Cash,Dine in
24,SUN-5719631,26-10-2023,Club Sandwich,Food,FOD-05,1,45000,45000,Cash,Take Away
25,SUN-2810366,01-05-2023,Nasi Goreng Kampung,Food,FOD-03,4,38000,152000,Debit Card,Take Away
26,SUN-8497237,15-06-2023,Cinnamon Roll,Dessert,DST-05,1,28000,28000,Debit Card,Dine in
27,SUN-3213517,15-10-2023,Espreso Single,Drinks,DRK-01,3,22000,66000,Debit Card,Dine in
28,SUN-6569344,15-02-2023,Club Sandwich,Food,FOD-05,3,45000,135000,Digital Wallet,Take Away
29,SUN-9343698,21-04-2023,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Debit Card,Online Order
30,SUN-1537063,15-02-2023,Espreso Single,Drinks,DRK-01,4,22000,88000,Debit Card,Online Order
31,SUN-2317971,15-06-2023,Espreso Single,Drinks,DRK-01,4,22000,88000,Debit Card,Online Order
32,SUN-6683769,23-12-2023,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Debit Card,Online Order
33,SUN-6644096,18-02-2023,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Take Away
34,SUN-9455137,20-05-2023,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Digital Wallet,Dine in
35,SUN-9674213,28-05-2023,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Debit Card,Take Away
36,SUN-1366257,26-11-2023,Cinnamon Roll,Dessert,DST-05,2,28000,56000,Cash,Online Order
37,SUN-9663603,16-03-2023,Iced Americano,Drinks,DRK-02,3,28000,84000,Cash,Dine in
38,SUN-2527896,03-07-2023,Club Sandwich,Food,FOD-05,3,45000,135000,Debit Card,Take Away
39,SUN-2039133,06-04-2023,Classic Tirmaisu,Dessert,DST-01,2,38000,76000,Cash,Dine in
40,SUN-6919180,08-01-2023,Beef Carbonara Pasta,Food,FOD-02,2,52000,104000,Debit Card,Online Order
41,SUN-6434420,01-10-2023,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Cash,Online Order
42,SUN-4127465,23-01-2023,Cafe Latte,Drinks,DRK-03,1,32000,32000,Digital Wallet,Take Away
43,SUN-9959752,13-04-2023,Nasi Goreng Kampung,Food,FOD-03,4,38000,152000,Cash,Online Order
44,SUN-5257512,01-07-2023,Cafe Latte,Drinks,DRK-03,1,32000,32000,Digital Wallet,Online Order
45,SUN-1659564,27-06-2023,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Debit Card,Online Order
46,SUN-8746790,12-02-2023,Choco Lava Cake,Dessert,DST-04,4,35000,140000,Cash,Dine in
47,SUN-7551943,24-12-2023,Cafe Latte,Drinks,DRK-03,1,32000,32000,Digital Wallet,Online Order
48,SUN-7998776,01-10-2023,New York Cheesecake,Dessert,DST-03,1,42000,42000,Cash,Online Order
49,SUN-9532935,18-12-2023,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Online Order
50,SUN-8615982,03-02-2023,Grill Chicken Caesar Salad,Food,FOD-04,1,42000,42000,Debit Card,Online Order
51,SUN-2128658,22-09-2023,Grill Chicken Caesar Salad,Food,FOD-04,4,42000,168000,Cash,Dine in
52,SUN-2709499,17-04-2023,Beef Carbonara Pasta,Food,FOD-02,4,52000,208000,Digital Wallet,Dine in
53,SUN-1579713,17-07-2023,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Debit Card,Take Away
54,SUN-6424168,04-12-2023,Espreso Single,Drinks,DRK-01,3,22000,66000,Digital Wallet,Dine in
55,SUN-8316112,12-04-2023,Cafe Latte,Drinks,DRK-03,3,32000,96000,Debit Card,Dine in
56,SUN-2723542,22-09-2023,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Cash,Dine in
57,SUN-1146065,28-02-2023,Cafe Latte,Drinks,DRK-03,1,32000,32000,Digital Wallet,Online Order
58,SUN-1366043,28-04-2023,Buttermilk Fried Chicken,Food,FOD-01,1,48000,48000,Cash,Dine in
59,SUN-6726508,21-12-2023,Espreso Single,Drinks,DRK-01,1,22000,22000,Debit Card,Online Order
60,SUN-4885650,03-06-2023,Beef Carbonara Pasta,Food,FOD-02,1,52000,52000,Debit Card,Online Order
61,SUN-2774696,08-07-2023,Club Sandwich,Food,FOD-05,2,45000,90000,Cash,Dine in
62,SUN-2925668,17-04-2023,Beef Carbonara Pasta,Food,FOD-02,2,52000,104000,Digital Wallet,Dine in
63,SUN-3704015,12-02-2023,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Cash,Dine in
64,SUN-4481094,04-06-2023,Beef Carbonara Pasta,Food,FOD-02,2,52000,104000,Digital Wallet,Dine in
65,SUN-9246459,16-08-2023,Club Sandwich,Food,FOD-05,3,45000,135000,Digital Wallet,Take Away
66,SUN-8741366,16-06-2023,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Debit Card,Online Order
67,SUN-6459066,11-10-2023,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Digital Wallet,Online Order
68,SUN-2332422,13-05-2023,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Digital Wallet,Online Order
69,SUN-9466267,12-08-2023,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Cash,Take Away
70,SUN-6731099,10-10-2023,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Digital Wallet,Dine in
71,SUN-6096734,01-12-2023,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Digital Wallet,Dine in
72,SUN-5865247,05-06-2023,Choco Lava Cake,Dessert,DST-04,2,35000,70000,Debit Card,Take Away
73,SUN-4544157,15-01-2023,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Digital Wallet,Take Away
74,SUN-7247827,20-09-2023,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Cash,Dine in
75,SUN-7947139,12-07-2023,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Digital Wallet,Online Order
76,SUN-6274006,15-11-2023,Iced Americano,Drinks,DRK-02,1,28000,28000,Digital Wallet,Online Order
77,SUN-6748316,17-06-2023,Iced Americano,Drinks,DRK-02,3,28000,84000,Digital Wallet,Online Order
78,SUN-6641456,15-05-2023,Buttermilk Fried Chicken,Food,FOD-01,2,48000,96000,Debit Card,Take Away
79,SUN-5987471,23-01-2023,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Digital Wallet,Dine in
80,SUN-4720429,16-06-2023,Club Sandwich,Food,FOD-05,1,45000,45000,Debit Card,Take Away
81,SUN-8298101,23-08-2023,New York Cheesecake,Dessert,DST-03,3,42000,126000,Digital Wallet,Online Order
82,SUN-9494169,09-10-2023,Buttermilk Fried Chicken,Food,FOD-01,2,48000,96000,Digital Wallet,Dine in
83,SUN-5663995,08-11-2023,Club Sandwich,Food,FOD-05,4,45000,180000,Debit Card,Dine in
84,SUN-4793340,20-03-2023,New York Cheesecake,Dessert,DST-03,2,42000,84000,Debit Card,Online Order
85,SUN-4685044,05-08-2023,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Debit Card,Take Away
86,SUN-1140911,21-10-2023,Espreso Single,Drinks,DRK-01,4,22000,88000,Digital Wallet,Online Order
87,SUN-2624711,05-04-2023,Cinnamon Roll,Dessert,DST-05,4,28000,112000,Debit Card,Take Away
88,SUN-9903500,06-05-2023,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Cash,Take Away
